*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(16.173346, 4.0, -12.710232)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(-3.457903, 4.0, -15.473904)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(6.168316, 4.0, -29.671833)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-17.764969, 4.0, -6.7719765)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(19.696398, 4.0, -34.025604)
NEWD!A!5!templateshirt.JPG!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(27.768633, 4.0, -32.924862)
0$B(0.0, -4.1499996, 0.0)$0P$(16.173346, 4.0, -12.710232)$270.0$0$0.0$1A$(-3.457903, 4.0, -15.473904)$82.83015$0$0.0$2A$(6.168316, 4.0, -29.671833)$29.69126$1$4.0$3A$(-17.764969, 4.0, -6.7719765)$100.768234$1$4.0$4A$(19.696398, 4.0, -34.025604)$293.6322$0$0.0$5A$(27.768633, 4.0, -32.924862)$288.81808$0$0.0$
1$B(16.309086, 3.0354393, -14.235564)$0P$(16.173346, 4.0782433, -12.710227)$270.0$0$0.0$1A$(-3.4578483, 4.015648, -15.473904)$92.83015$0$0.0$2A$(6.180966, 4.0155835, -29.629921)$19.69126$1$4.0$3A$(-17.727514, 4.015636, -6.7945247)$110.768234$1$4.0$4A$(19.696398, 4.015632, -34.025604)$283.6322$1$4.0$5A$(27.768635, 4.0156193, -32.924862)$278.81808$1$4.0$
2$B(16.309086, 3.1136825, -14.235559)$0P$(16.173346, 4.078335, -12.710208)$270.0$0$0.0$1A$(-3.457736, 4.052976, -15.473904)$100.27823$0$0.0$2A$(6.234873, 4.052389, -29.451296)$19.69126$1$4.0$3A$(-17.567766, 4.052558, -6.890695)$118.21632$1$4.0$4A$(19.515553, 4.0525465, -34.071022)$276.1841$1$4.0$5A$(27.583052, 4.0525436, -32.923893)$271.37$1$4.0$
3$B(16.309086, 3.113774, -14.23554)$0P$(16.17335, 4.078337, -12.710188)$270.0$0$0.0$1A$(-3.457733, 4.0653005, -15.473904)$105.776115$1$4.0$2A$(6.2841554, 4.0595675, -29.287994)$19.69126$1$4.0$3A$(-17.425446, 4.063152, -6.976747)$118.21632$1$4.0$4A$(19.351328, 4.058443, -34.122772)$270.68622$0$0.0$5A$(27.419575, 4.065104, -32.934425)$271.37$1$4.0$
4$B(16.30909, 3.1137764, -14.23552)$0P$(16.173347, 4.0783353, -12.710182)$270.0$0$0.0$1A$(-3.4133966, 4.0678334, -15.514487)$108.28128$1$4.0$2A$(6.3011036, 4.0632486, -29.23184)$19.69126$1$4.0$3A$(-17.36846, 4.0604267, -7.0113454)$118.21632$1$4.0$4A$(19.301008, 4.058666, -34.13863)$268.18106$1$4.0$5A$(27.359875, 4.067737, -32.928806)$268.86484$1$4.0$
5$B(16.309088, 3.1137745, -14.235515)$0P$(16.173347, 4.0784283, -12.710177)$270.0$0$0.0$1A$(-3.3687227, 4.069912, -15.555526)$110.52376$1$4.0$2A$(6.318316, 4.0661964, -29.174809)$19.69126$1$4.0$3A$(-17.318186, 4.063969, -7.0419073)$118.21632$1$4.0$4A$(19.235233, 4.055941, -34.149498)$268.18106$1$4.0$5A$(27.29995, 4.0698414, -32.938007)$268.86484$1$4.0$
6$B(16.309088, 3.1138675, -14.23551)$0P$(16.173347, 4.078428, -12.710173)$270.0$0$0.0$1A$(-3.3237495, 4.071575, -15.597005)$112.7227$1$4.0$2A$(6.335738, 4.0685606, -29.117079)$19.69126$1$4.0$3A$(-17.261246, 4.061244, -7.0765805)$118.21632$1$4.0$4A$(19.168615, 4.053216, -34.146942)$270.38$1$4.0$5A$(27.239063, 4.0715036, -32.944023)$268.86484$1$4.0$
7$B(16.309088, 3.113867, -14.235505)$0P$(16.173347, 4.078428, -12.710173)$270.0$0$0.0$1A$(-3.3237495, 4.071575, -15.597005)$113.726814$1$4.0$2A$(6.335738, 4.0685606, -29.117079)$19.69126$1$4.0$3A$(-17.261246, 4.061244, -7.0765805)$118.21632$1$4.0$4A$(19.168615, 4.053216, -34.146942)$269.3759$1$4.0$5A$(27.239063, 4.0715036, -32.944023)$267.86072$1$4.0$
8$B(16.309088, 3.113867, -14.235505)$0P$(16.173347, 4.078521, -12.710168)$270.0$0$0.0$1A$(-3.278484, 4.072853, -15.63889)$116.00023$1$4.0$2A$(6.3550096, 4.0658355, -29.053259)$19.69126$1$4.0$3A$(-17.210842, 4.064622, -7.1073265)$118.21632$1$4.0$4A$(19.102276, 4.050491, -34.153538)$271.6493$1$4.0$5A$(27.181883, 4.072851, -32.966866)$265.5873$1$4.0$
9$B(16.309088, 3.11396, -14.2355)$0P$(16.173347, 4.078521, -12.710168)$270.0$0$0.0$1A$(-3.278484, 4.072853, -15.63889)$117.03646$1$4.0$2A$(6.3550096, 4.0658355, -29.053259)$19.69126$1$4.0$3A$(-17.210842, 4.064622, -7.1073265)$118.21632$1$4.0$4A$(19.102276, 4.050491, -34.153538)$270.61307$1$4.0$5A$(27.181883, 4.072851, -32.966866)$266.62354$1$4.0$
10$B(16.309088, 3.11396, -14.2355)$0P$(16.173347, 4.078432, -12.710161)$270.0$0$0.0$1A$(-3.2330525, 4.073863, -15.681091)$119.225815$1$4.0$2A$(6.372406, 4.0682716, -28.995615)$19.69126$1$4.0$3A$(-17.153961, 4.061897, -7.142098)$118.21632$1$4.0$4A$(19.039404, 4.0477657, -34.17571)$270.61307$1$4.0$5A$(27.12002, 4.073919, -32.964104)$264.43417$1$4.0$
11$B(16.309088, 3.1138713, -14.235494)$0P$(16.173347, 4.078432, -12.710161)$270.0$0$0.0$1A$(-3.2330525, 4.073863, -15.681091)$120.25897$1$4.0$2A$(6.372406, 4.0682716, -28.995615)$19.69126$1$4.0$3A$(-17.153961, 4.061897, -7.142098)$118.21632$1$4.0$4A$(19.039404, 4.0477657, -34.17571)$269.57993$1$4.0$5A$(27.12002, 4.073919, -32.964104)$263.40103$1$4.0$
12$B(16.309088, 3.1138713, -14.235494)$0P$(16.173347, 4.0784283, -12.7101555)$270.0$0$0.0$1A$(-3.187589, 4.0747237, -15.723518)$122.57137$1$4.0$2A$(6.3916774, 4.0655465, -28.931795)$19.69126$1$4.0$3A$(-17.097101, 4.0591717, -7.1769037)$118.21632$1$4.0$4A$(18.984015, 4.0538, -34.18172)$269.57993$1$4.0$5A$(27.062431, 4.074931, -32.98698)$261.08862$1$4.0$
